name,region,population,lifeExpectancy,incomePerCapita,expenditurePerCapita
Abra,CAR, 234733,69.72,3819.06,3028.16
Apayao,CAR, 112636,68.45,4404.01,2686.53
Benguet,CAR, 722620,72.39,1849.04,1444.09
Ifugao,CAR, 191078,67.21,2641.85,2043.77
Kalinga,CAR, 201613,67.73,2561.79,2098.08
Mt  Province,CAR, 154187,67.90,2981.70,2127.55
Ilocos Norte,Region I, 568017,73.56,2719.43,2182.68
Ilocos Sur,Region I, 658587,71.50,1155.23, 566.90
La Union,Region I, 741906,73.31,2280.92,1671.38
Pangasinan,Region I,2779862,73.12,1195.79,1078.91
Batanes,Region II,  16604,64.36,14549.51,9953.63
Cagayan,Region II,1124773,70.09,1804.59,1179.31
Isabela,Region II,1489645,64.36,2284.30,1927.55
Nueva Viscaya,Region II, 421355,70.12,1736.37,1384.82
Quirino,Region II, 176786,68.81,3123.38,2587.42
Aurora,Region III, 201233,68.63,2643.16,2283.07
Bataan,Region III, 687482,68.63,2313.24,1751.46
Bulacan,Region III,2924433,72.53,1416.77,1148.86
Nueva Ecija,Region III,1955373,71.90,1286.29, 786.46
Pampanga,Region III,2340355,73.77,1401.42, 966.92
Tarlac,Region III,1273240,71.11, 954.59, 661.32
Zambales,Region III,2724811,70.33,1275.46,1035.47
Metro Manila,NCR,11791828,72.20,5452.36,3654.20
Batangas,Region IV-A,2377395,73.52,1322.34, 892.52
Cavite,Region IV-A,3090691,72.56,1097.55, 605.78
Laguna,Region IV-A,2669847,71.49,1696.43,1325.24
Quezon,Region IV-A,1987030,70.58,1369.30, 861.81
Rizal,Region IV-A,2484840,72.75,1609.84, 938.24
Marinduque,Region IV-B, 227828,70.89,1788.32,1188.09
Occidental Mindoro,Region IV-B, 452971,70.65,1696.29,1556.30
Oriental Mindoro,Region IV-B, 785602,71.27, 604.45, 458.27
Palawan,Region IV-B, 994340,69.77,1924.20,1386.63
Romblon,Region IV-B, 283930,70.39,1410.67,1031.98
Albay,Region V,1233432,71.00,1251.07, 803.79
Camarines Norte,Region V, 542915,68.06,1362.64,1112.68
Camarines Sur,Region V,1822371,71.78, 592.48, 486.16
Catanduanes,Region V, 246300,69.10,2185.38,1724.73
Masbate,Region V, 834650,68.33,1541.16, 837.08
Sorsogon,Region V, 740743,70.50,1715.80,1295.81
Aklan,Region VI, 535725,69.05,1743.41, 961.59
Antique,Region VI, 546031,68.66,1470.50,1237.07
Capiz,Region VI, 719685,69.83,2934.52,1451.77
Guimaras,Region VI, 162943,70.94,2432.38,2166.95
Iloilo,Region VI,2230195,72.69,1082.28, 802.79
Negros Occidental,Region VI,1875679,71.93,2463.28,1786.88
Bohol,Region VII,1255128,71.00, 724.37, 409.28
Cebu,Region VII,4167320,73.09,1253.92, 740.60
Negros Oriental,Region VII,1286666,69.11,2532.86,1894.07
Siquijor,Region VII,  91066,68.34,3374.48,2539.59
Biliran,Region VIII, 161760,71.09,2101.57,1666.79
Eastern Samar,Region VIII, 428877,67.50,1244.32, 845.37
Leyte,Region VIII,1789158,71.09, 691.56, 322.51
Northern Samar,Region VIII, 589013,67.90,1272.40,1031.69
Samar,Region VIII, 733377,67.18,2086.76,1405.28
Southern Leyte,Region VIII, 399137,70.16,2913.08,2142.57
Zamboanga del Norte,Region IX, 957997,68.58,1654.51,1164.25
Zamboanga del Sur,Region IX,1766814,69.81, 650.09, 402.31
Zamboanga Sibugay,Region IX, 584685,66.09,1675.19,1156.71
Bukidnon,Region X,1299192,69.81,2332.07,2318.79
Camiguin,Region X,  83807,68.89,2591.79,2399.68
Lanao del Norte,Region X, 930738,68.37,1335.91, 398.39
Misamis Occidental,Region X, 567642,69.29,1822.52,1337.59
Misamis Oriental,Region X,1415944,71.04,2255.78,1384.75
Compostela Valley,Region XI, 687195,68.16,1258.59,1013.22
Davao del Norte,Region XI, 945764,68.16,3201.01,2363.83
Davao del Sur,Region XI,2317986,70.98,1808.85,1259.31
Davao Oriental,Region XI, 517618,69.25,1610.13,1571.93
Cotabato,Region XII,1226508,67.42,1624.50,1365.22
Saranggani,Region XII, 498904,68.91,1312.50, 741.93
South Cotabato,Region XII,1365286,70.66, 700.28, 460.74
Sultan Kudarat,Region XII, 747087,68.84,1502.21,1154.46
Agusan del Norte,CARAGA, 642196,68.69,1774.17,1159.74
Agusan del Sur,CARAGA, 656418,67.12,1670.64,1483.76
Dinagat Islands,CARAGA, 126803,68.60,2354.34,1687.22
Surigao del Norte,CARAGA, 442588,70.47,2496.34,2179.68
Surigao del Sur,CARAGA, 561219,67.95,2063.47,1550.59
Basilan,ARMM, 391179,66.91,1470.84,1285.55
Lanao del Sur,ARMM, 933260,64.70,1938.23,1563.73
Maguindanao,ARMM,1216504,63.38,1266.46,1074.66
Sulu,ARMM, 718290,60.25,1022.61, 668.73
Tawi-Tawi,ARMM, 366550,59.31,1385.58,1389.78
